question,answer
Tuition and payment FAQs,"Deposit fee questions When is the tuition deposit due? For a list of deposit due dates, refer to Student fee invoices and payment . When are student invoices posted? Invoices are posted on the Student Portal 4-6 weeks before the deposit due date . Does the initial deposit count towards tuition fees or is it in addition to my total fees? The $500 mandatory tuition fee deposit (for domestic students) is part of your tuition fees and reduces the amount you owe. How does the deposit work? Does it have to be paid each term? The Ministry of Colleges and Universities policy states that a deposit is assessed on a per program/per academic year basis. Therefore, in a normal situation (no program change) the student pays it once per year. Can I pay my deposit now? The billing of fees will take place in early June at which time fees may be paid. If I am an OSAP recipient do I have to pay the deposit? Yes, if you are receiving OSAP funding you must pay the tuition deposit by the deposit deadline. What if I am an OSAP recipient and do not have enough money for the deposit? As in the past, there will be a process for students who qualify to request an exception to the deposit amount. Additional information will be available through the Financial Services Office. I am waiting for my RESP; do I have to pay the deposit?"
When is the tuition deposit due?,"For a list of deposit due dates, refer to Student fee invoices and payment ."
When are student invoices posted?,Invoices are posted on the Student Portal 4-6 weeks before the deposit due date .
Does the initial deposit count towards tuition fees or is it in addition to my total fees?,The $500 mandatory tuition fee deposit (for domestic students) is part of your tuition fees and reduces the amount you owe.
How does the deposit work? Does it have to be paid each term?,"The Ministry of Colleges and Universities policy states that a deposit is assessed on a per program/per academic year basis. Therefore, in a normal situation (no program change) the student pays it once per year."
Can I pay my deposit now?,The billing of fees will take place in early June at which time fees may be paid.
If I am an OSAP recipient do I have to pay the deposit?,"Yes, if you are receiving OSAP funding you must pay the tuition deposit by the deposit deadline."
What if I am an OSAP recipient and do not have enough money for the deposit?,"As in the past, there will be a process for students who qualify to request an exception to the deposit amount. Additional information will be available through the Financial Services Office."
I am waiting for my RESP; do I have to pay the deposit?,"Yes, the tuition deposit is due by the due date unless the student qualifies for special consideration under the OSAP process."
If I have a co-op level for the first level of the academic year (i.e. fall) am I expected to pay a deposit?,Students who have a co-op level as the first level of their program for the academic year (i.e. in the fall) will be billed for the CSI Health plan with a due date of August 2 and payment by this date is expected. The deposit due date will be in October as the first academic level is during the winter term.
Can I still pay the full-year tuition fees?,"Yes, a student may still pay the full fees as per the Student Fee Invoice but a student does not have to pay prior to the fees due date stated on the invoice(s)."
Do I have to pay deferral fees?,"No. The ministry no longer allows colleges to charge a deferral fee and as such, have required colleges to bill by term and permit payment by term. Therefore, students no longer need to request to defer to a later date as the timeframe has been established by the ministry."
Can I pay my tuition and deposit in person?,"No, all in-person payments for program tuition and course registration will no longer be accepted. All deposit, tuition and course fee payments must be made through the Student Portal using online/web banking."
"Will I be able to pay my $500 deposit through the Student Portal? If so, will I be able to pay the remainder of my fees through the portal as well?","Yes, fees may be paid through the Student Portal."
How can I confirm that the college has received my payment?,"To confirm your payment has been received, log in to the Student Portal . Select the 'Financial' tab, then select 'My Fees'. Note: Payments made through the Student Portal or online banking can take three to five business days to process. Students should ensure payments are received by the due date."
What happens if I donâ€™t make a payment by the deadline?,Accounts which reflect a tuition fee payment made after the due date will be assessed the late fee. A late penalty fee will not be assessed on the deposit.
Tuition deposit:,Returning students who do not pay the tuition deposit by the deadline will not be able to register for classes and/or view their timetable. New students who do not pay the tuition deposit by the deadline may lose their seat in their program and/or not be able to register for classes and/or see their timetable.
Subsequent tuition fees:,Returning students who do not pay tuition by the deadline may be removed from their program and/or will not be able to register for classes and/or view their timetable. Late fees will be applied to accounts where fee payments were made after the due date. New students who do not pay tuition by the deadline may lose their seat in their program and/or not be able to register for classes and/or see their timetable.
What happens if I receive a conditional offer and am not able to meet my conditions for admission? Do I lose my deposit?,Applicants who fail to meet their condition of admission and notify the college prior to the program withdrawal date will have any/all fees that have been paid returned to them.
What happens if I am accepted to a program and pay the deposit but am then called off the waitlist for another program here at Conestoga?,"The ministry policy allows the deposit to be held, however we will permit the student to move the deposit monies to the new program offering."
Do international students have to pay a tuition deposit?,Returning international students who do not pay the tuition deposit by the deadline will not be able to register for classes and/or view their timetable. New international students who do not pay the tuition deposit by the deadline may lose their seat in their program and/or not be able to register for classes and/or see their timetable.
Are the subsequent fee due dates the same for international students?,"Yes, the subsequent fee due dates are the same for all students (international and domestic) unless the domestic student is approved through OSAP. Returning international students who do not pay the tuition by the deadline may be removed from their program and/or will not be able to register for classes and/or view their timetable. Late fees will be applied to accounts where fee payments were made after the due date. New international students who do not pay the tuition by the deadline may lose their seat in their program and/or not be able to register for classes and/or see their timetable"
Will international students be assessed late fees?,"Yes, late fee payment penalties will be applied in the same manner as domestic students."
Is the deposit the same and mandatory for international students?,"International students are expected to pay a mandatory non-refundable deposit of $2,500. The mandatory non-refundable tuition deposit is required for all new and returning students. Students who withdraw after the start of the term will be assessed a $2,500 withholding fee."
Do international students who are sponsored have to pay the mandatory non-refundable deposit fee?,"We do not require sponsoring agencies to pay the deposit by the deposit due date, but we are requesting that the sponsorship letter be provided to the college by the deposit due date or prior to the first day of classes for Saudi Arabian students. If a sponsorship letter cannot be provided, please have the student contact the college prior to the deposit due date. In some instances, the student may be required to pay the deposit to secure his/her place in the program. Please send all sponsorship letters to internationaladmissions@conestogac.on.ca (for new students) or Vesna Kovacevic vkovacevic@conestogac.on.ca (for returning students) prior to the deposit due date for new and returning students."
"For international students who will be on a co-op term for September, what will they be expected to pay and when?",Students who have a co-op level for the first term of the academic year (i.e. fall) will be invoiced for the CSI Health Plan Fee with a due date of August 2 and a deposit due date in October as their first academic term begins in January.
Are sponsored students required to pay the deposit fee?,We do not require sponsoring agencies to pay the deposit by the deposit due date but we require a sponsorship letter by the deposit due date or the student will have to pay the deposit to secure their place in the program.
If I have received funding approval (a signed MCU contract) what must I do?,"Upon receipt of invoice, and prior to the deposit due date, the student must: a. Present an MCU contract agreement to the fees staff in the Registrarâ€™s Office who will complete an MCU Payment Agreement with you. i. Deposit fee due date will be extended to the OSAP deadline"
"If I have an MCU Application for Financial Assistance in process at MCU, what must I do?","Upon receipt of invoice, and prior to the deposit due date, the student must: a. Present an MCU Application for Financial Assistance to fees staff in the Registrarâ€™s Office who will arrange a temporary MCU Payment Agreement. i. Deposit fee due date will be extended to the OSAP deadline."
Invoicing information,"Opting out of optional fees Student fees are a combination of tuition, ancillary fees, program-specific fees and optional fees. Students can opt out of optional fees before the college's refund deadline each term. After the refund deadline, optional fees will remain on the student's invoice. Before opting out, students are encouraged to review all fees closely to make an informed decision about their choices because once an invoice is confirmed, selections are final. To opt out Log in to the Student Portal using your Conestoga email address and default password. For further instructions, refer to Your student Condor ID and password . Select 'Financial tab'. Select â€˜My Invoiceâ€™ and click on the â€˜View Invoiceâ€™ for the appropriate term. To view and/or print your invoice(s) select the 'Invoice' button at the end of the line that contains the program and term(s) you wish to view. Accept or decline fees for optional services. Complete the transaction by clicking â€˜Save and Confirmâ€™ or â€˜Cancel and Returnâ€™ to start over. Once you save your information, changes cannot be made. You must click 'Save and Confirm', otherwise the invoice amounts will not be updated. Please allow up to 24 hours for processing. To view your invoice and make a payment Go to the â€˜My Feesâ€™ tab to view your invoice. In-person payments for program tuition fees and course registration are not accepted. Payments can be made using the following methods: Student Portal: Payments can be made on the Student Portal directly."
To opt out,"Log in to the Student Portal using your Conestoga email address and default password. For further instructions, refer to Your student Condor ID and password . Select â€˜My Invoiceâ€™ and click on the â€˜View Invoiceâ€™ for the appropriate term. To view and/or print your invoice(s) select the 'Invoice' button at the end of the line that contains the program and term(s) you wish to view."
To view your invoice and make a payment,"Go to the â€˜My Feesâ€™ tab to view your invoice. In-person payments for program tuition fees and course registration are not accepted. Payments can be made using the following methods: Student Portal: Payments can be made on the Student Portal directly. This is found under the Financial tab, Program Fees Payment. Web banking: Students can pay their fees using online or web banking. Use your seven-digit Conestoga student number as the account/reference number. International Payments"
Course description,"This course provides opportunity to students to learn and improve their communication and advising skills in the field of financial services. Students will participate in roleplays, presentations, group discussion, analysis of case scenarios in various settings including one-on-one, small groups and large audiences so that they can communicate clearly, concisely and compassionately with clients and overall. Students in this course will practice strategies for dealing with common client-related situations while applying relevant financial knowledge to gain confidence and professionalism."
Course details,Hours: 56 Credits: 4 Prerequisites: None Corequisites: None
Build courses into a credential,This course is part of the following program(s):
Credit transfer,Have you taken this course or an equivalent course? Contact the Credit Transfer Office.
Registration dates,Not all courses are offered each term.
Delivery options,In person: classes held in person on a campus/site in a classroom/lab/shop/studio for the course duration
Tech FAQs,Library & Learning Services Home Library & Learning Services Teach Me Tech Tech FAQs Home Library & Learning Services Home Library & Learning Services Teach Me Tech Tech FAQs Home Library & Learning Services Home
Tech FAQs,"Use the ""Search"" box to find answers to your tech questions, e.g. how to use Zoom , download software , access Texidium etexts , etc Can't find an answer? Contact us . Use the ""Search"" box to find answers to your tech questions, e.g. how to use Zoom , download software , access Texidium etexts , etc Can't find an answer? Contact us . Use the ""Search"" box to find answers to your tech questions, e.g. how to use Zoom , download software , access Texidium etexts , etc Can't find an answer? Contact us ."
Resources,About Us Hours Locations Contacts Events
Accessible Learning,Conestoga provides support and academic accommodation for students with all types of disabilities in keeping with the Ontario Human Rights Code. We work with you to understand the impact of your disability in the college environment and develop a plan that considers your goals and the options available to support your full participation in the learning environment. Programs and services provided by Accessible Learning are made possible through a grant provided by the Ontario Government called the Accessibility Fund for Students with Disabilities. The information published on this website represents the views of the college and not necessarily that of the government. Conestoga provides support and academic accommodation for students with all types of disabilities in keeping with the Ontario Human Rights Code. We work with you to understand the impact of your disability in the college environment and develop a plan that considers your goals and the options available to support your full participation in the learning environment. Programs and services provided by Accessible Learning are made possible through a grant provided by the Ontario Government called the Accessibility Fund for Students with Disabilities. The information published on this website represents the views of the college and not necessarily that of the government. Conestoga provides support and academic accommodation for students with all types of disabilities in keeping with the Ontario Human Rights Code.
Register with Accessible Learning,"To discuss possible academic accommodations, please complete theâ€¯ Intake Form â€¯and check out New to Accessible Learning below. To discuss possible academic accommodations, please complete theâ€¯ Intake Form â€¯and check out New to Accessible Learning below. To discuss possible academic accommodations, please complete theâ€¯ Intake Form â€¯and check out New to Accessible Learning below."
Returning students registered with Accessible Learning,Sign in to Accommodate â€¯where you canâ€¯book an appointment with your advisor to: change or renew accommodations address a concern about your accommodations being met/supported with advocacy discuss bursaries Sign in to Accommodate â€¯where you canâ€¯book an appointment with your advisor to: change or renew accommodations address a concern about your accommodations being met/supported with advocacy discuss bursaries Sign in to Accommodate â€¯where you canâ€¯book an appointment with your advisor to:
Pre-admission appointments,"Pre-admission appointments are for students who wish to speak with an Accessibility Advisor while considering applying to Conestoga. An advisor can meet with you to discuss past supports, interests, program of study, course selection, strengths, challenges, and possible college accommodations. For more information, email us at accessibility@conestogac.on.ca or call us at 519-748-5220, ext. 3232."
Intake form,"When you have accepted your offer of admission and are ready to explore academic accommodations, please complete our Intake Form . We recommend that you reach out before starting your program, which could be as early as accepting your offer of admission. Early registration will aid in meaningful accommodation planning, connecting you with appropriate college supports and services, and supporting your transition to the college environment. Please note that certain accommodations can only be guaranteed with sufficient advanced notice. While efforts will be made to accommodate late requests, a delay in registering with Accessible Learning could result in a delay in receiving academic accommodations."
C Success Transition Program,"If you have been accepted to Conestoga College and require support from Accessible Learning, we invite you to participate in the C Success Summer Transition Program. C Success is an orientation program designed for students who face barriers to participating in college life. It is an opportunity to learn more about what to expect at college and become familiar with a new learning environment. To register for the in-person programming, or to sign up for the recorded online workshop, please complete the Student Registration Form . If your campus is not listed, you are welcome to attend the campus location most convenient for you."
"Tuesday, August 19, 2025",Kitchener – Doon campus: 9 a.m. - 12 p.m
"Wednesday, August 20, 2025",Waterloo campus: 9 a.m. - 12 p.m. Cambridge – Fountain Street campus: 9 a.m. - 12 p.m. Guelph campus: 9 a.m. - 12 p.m.
Parent Information Session,"This session is for parents wanting to learn more about how to best support their student as they transition to post-secondary. Be sure to fill out the Parent Registration Form to attend. Online: Tuesday, August 19, 2025 at 7 p.m."
New to Accessible Learning,"Please let us know if you need an alternate format of forms, information, or assistance with our procedures. We are happy to help. Step 1: Fill out the Intake Form and upload the documentation. Completing the entire Accessible Learning Intake Form is a necessary first step. Upload your documentation to minimize delay."
Please note:,Step 4: Activate your accommodations. You must complete your Semester Request at the start of each semester to activate your accommodations and notify your faculty. Semester Requests should be submitted a few days before your semester begins.
Remote learning,"Students who cannot come to campus for an extended period and are looking for academic accommodation for courses only offered in person/on campus are encouraged to speak with us before seeking documentation. These situations tend to have a fair amount of complexity and, when requested for a duration greater than two weeks, can generate additional barriers to academic success and participation. If you are already registered with us, please speak with your Accessibility Advisor. If you haven't been assigned an Accessibility Advisor yet, please contact our intake team ."
Documentation,"If you have a documented permanent or temporary disability or are experiencing difficulties that affect your learning, you can register for academic accommodations. Accommodations are determined with your Accessibility Advisor based on: Depending on your accommodation needs, our office may request additional, updated, or more specific documentation. Receiving this documentation before your first appointment will help us provide an accommodation plan more quickly. Please note: While recommendations will be considered, the college reserves the right to determine the most appropriate accommodations in our context. Our goal is to reach a consensus with you about this, but if you believe we have made an error, you may request an appeal."
Submit your documentation,"If you are new to Accessible Learning, documentation can be uploaded via our Intake Form. Alternatively, it can be uploaded to Accommodate , emailed , faxed, or submitted in person."
OSAP Disability Verification,"OSAP requires that a Disability Verification Form (DVF) be completed and uploaded to the student’s OSAP profile on the OSAP Portal for Student Financial Services to confirm permanent or temporary disability. Disability verification with OSAP may allow students to access awards, scholarships, grants, and bursaries. Students must also provide Accessible Learning with a copy of the completed DVF or other relevant medical documentation to implement academic accommodations as needed. Please note: If you have checked the disability box on your OSAP application but have not completed and uploaded the Disability Verification Form, it may delay your OSAP funding until Student Financial Services confirms disability verification. You may request Student Financial Services to uncheck the box until you have the documents in place. Using the same email address you used in your OSAP application, email Student Financial Services with your name and student ID number, requesting to remove your disability status. Your status will be adjusted once the completed DVF form is uploaded onto your OSAP student profile and Student Financial Services confirms your disability."
Who can verify a permanent disability?,Documentation to confirm a permanent disability may be provided by a qualified healthcare practitioner with training and experience in the area of diagnosis. Examples of qualified practitioners include:
Documentation for a physical or mental health condition,Options of supporting documentation include: OSAP Disability Verification Form (DVF) Conestoga's Health Certificate Form (pdf)
Please note:,"Individualized Education Plan (IEP) that references a physical or mental health condition. Please note: your IEP may provide valuable information to help us understand what support was available in high school, however, additional documentation may be required depending on the accommodation request. Examples of disability types covered in this area are ASD, ADHD, physical needs, mental health, visual or hearing impairment, injuries, concussions and medical conditions. Please note: your IEP may provide valuable information to help us understand what support was available in high school, however, additional documentation may be required depending on the accommodation request. Examples of disability types covered in this area are ASD, ADHD, physical needs, mental health, visual or hearing impairment, injuries, concussions and medical conditions."
Documentation for learning disabilities,"Options of supporting documentation include OSAP Disability Verification Form (DVF) Psychoeducational Assessment Report Please note: this may allow for academic accommodations, however, an assessment completed when the student was at least 18 years of age or within the past five years may be required to access funding for equipment and/or services."
Please note:,"Individualized Education Plan (IEP) Please note: your IEP may provide valuable information to help us understand what support was available in high school, however, additional documentation may be required depending on the accommodation request. Please note: your IEP may provide valuable information to help us understand what support was available in high school, however, additional documentation may be required depending on the accommodation request."
Getting additional documentation,"If your accommodation request exceeds what your documentation can support, your Accessibility Advisor can direct you to the appropriate source to obtain additional documentation and support. If an updated psychoeducational assessment is needed, the Accessibility Advisor will check to see if you are eligible for funding for reassessment. You will be referred to a psychologist or psychological associate to obtain this documentation if eligible."
No documentation,"If you do not have documentation or are unsure about your eligibility, please indicate this on your intake form. Accommodations may or may not be immediately available, but support and suggestions will be provided. If mental health concerns impact your academic performance, please call Student Health & Wellness at 519-748-5220, ext. 3679, to make an appointment."
Documentation criteria,"For Accessible Learning to provide support that is most appropriate to your circumstances, documentation should meet the following criteria: Be in English (if you have documentation in another language and obtaining an English version could be challenging, please contact us) Psychoeducational assessments within the last 5 years, completed at age 18, or using adult norms."
Confidentiality and retention of documentation,"All information shared with Accessible Learning will remain confidential to the staff associated with the department. Please refer to the Personal Health Information and Privacy Consent Form (pdf) for more information. Please be aware that email is not a secure method of providing medical information. To send your documentation beforehand, please use our secure fax at 519-748-3507."
Contact Accessible Learning,"Email: accessibility@conestogac.on.ca Phone: 519-748-5220, ext. 3232 Fax: 519-748-3507 Our primary office is located at the Kitchener – Doon campus; however, we have staff routinely working at most campuses. Please inquire at the Welcome Desk for in-person assistance at campuses other than the Kitchener – Doon campus."
OSAP & aid,Menu Home OSAP & aid Awards + Student bursaries Award recipients External awards & resources Work study Contact Menu Home OSAP & aid Awards + Student bursaries Award recipients External awards & resources Work study Contact Menu Home OSAP & aid Awards + Student bursaries Award recipients External awards & resources Work study Contact
2025-26 OSAP application now open,"Be sure to apply for OSAP early, as it takes 6-8 weeks to process your application from the time of submission. Be sure to apply for OSAP early, as it takes 6-8 weeks to process your application from the time of submission. Be sure to apply for OSAP early, as it takes 6-8 weeks to process your application from the time of submission."
About OSAP,"The Ontario Student Assistance Program (OSAP) is a needs-based program designed to help eligible Ontario students cover the cost of post-secondary education. Funded by the federal and provincial governments, OSAP is intended to promote equality of opportunity for post-secondary studies through direct financial assistance (grants and loans) for educational costs and living expenses. The amount of funding you are eligible for depends on your program, course load, educational and living expenses, and financial situation. Learn more about OSAP , including who can get OSAP and how it can help pay for college."
Applying for OSAP,Students can apply for funding directly through the OSAP website . Applications are updated every academic year and made available in the spring for the next September-August study period. OSAP application processing time is six to eight weeks.
Returning students continuing in a program,Students returning to an upper level of studies must reapply for OSAP each academic year/study period if they require funding.
Submitting OSAP documents,"Please note: Student Financial Services does not accept documents submitted in person, by mail, or email. Students must upload their documents through the OSAP Portal ."
Please note:,"Student Financial Services does not accept documents submitted in person, by mail, or email. Students must upload their documents through the OSAP Portal . Find a printer with scanning abilities on campus Scan your documents on campus with your ONE Card for free."
Important:,"You can create a PDF document from your phone. Below are some free applications that you can use to scan a document as a PDF: Microsoft Lens ( Apple , Android ) When using a mobile device to scan, ensure your document is flat and in a well-lit area for the best quality image. Once you create a PDF on your phone, you can email the document to yourself to upload it to the OSAP Portal."
French documents,"French documents are accepted for OSAP purposes. French documents are transferred to the ministry for review, which may delay processing time."
Foreign language documents,"An official translation must accompany all documents in languages other than English or French. Scanning your documents Ensure your documents are clear, ordered correctly, and complete. Save your document as a PDF. File size must be under 2MB, or 5MB for declaration and signature pages. If your document is too large, re-scan at a lower quality, or use a PDF compressor . Ensure your documents are clear, ordered correctly, and complete."
View documents & print/upload,Select Upload beside the document you need to submit or select Go to optional uploads .
Go to optional uploads,Select Browse to locate your document and select Open .
OSAP details,"Full-time OSAP funding may be available if you take 60% or more of a full course load. If you have a permanent disability or a persistent or prolonged disability, you may choose to be considered as a full-time student if you’re taking at least 40% of a full course load."
Eligibility,"To be eligible for OSAP, you must be: A Canadian citizen, permanent resident, or protected person A resident of Ontario (you have lived in Ontario for 12 months before commencing your post-secondary education)"
Tuition deposits and OSAP,"All full-time students must pay a $500 non-refundable tuition deposit each academic year to secure their place in the program. For more information, visit Payments & invoicing ."
Confirmation of enrolment for release of OSAP funding,"Confirmation of enrolment takes place automatically for registered students at the beginning of the term. Following confirmation, you will receive your OSAP funding in seven to ten business days. The amount for your tuition will be sent directly to the college, and the remainder (if applicable) will be deposited into the bank account you indicated with the National Student Loans Service Centre (NSLSC)."
Receiving your funding,"When you receive OSAP funding, the amount to cover your tuition will be sent directly to the college, and the rest will be deposited into the bank account you indicated when completing your NSLSC profile . If you are not receiving enough OSAP to cover your fees, you must pay the difference by the deadline indicated in the Student Portal , or you may be subject to a late fee. Your enrolment will be confirmed with OSAP when the following have been completed:"
Deadlines,Application deadline: 60 days before the end of your study period. Supporting documentation/review deadline: 40 days before the end of your study period.
2024-2025 full-time OSAP deadlines,"Note: these dates may vary depending on your program. To confirm your study period date, consult your timetable in the Student Portal ."
2025-2026 full-time OSAP deadlines,"Note: these dates may vary depending on your program. To confirm your study period date, consult your timetable in the Student Portal ."
Conestoga-McMaster BScN Students,"Course load and enrolment changes may impact your OSAP funding and/or eligibility for OSAP funding. Students in receipt of OSAP must report course load changes or changes to enrolment via email to BScN enrolment and Student Financial Services as soon as possible. Full-time definition : 9/15 units = 60% course load Students with a permanent disability or a persistent or prolonged disability may be considered full-time at a 40% course load, which is 6/15 units."
Deadlines,BScN and diploma Registered Practical Nurse to BScN programs follow the McMaster academic dates . Application deadline: 60 days before the end of your study period. Supporting documentation/review deadline: 40 days before the end of your study period.
2025-2026 full-time OSAP deadlines for CoMac BScN students,"All part-time students must pay their tuition upfront to be registered in their courses before part-time funding is released. Part-time OSAP funding is available if you take between 20% and 59% of a full course load. If you have a permanent disability or a persistent or prolonged disability, you are considered a part-time student if you’re taking a course load between 20% and 39%. Please see students with disabilities for more details."
Eligibility and applications,"Students must submit a new part-time application for each term that they need funding. To be eligible for part-time OSAP, you must be: A Canadian citizen, permanent resident, or protected person A resident of Ontario (you have lived in Ontario for 12 months before commencing your post-secondary education)"
Receiving your funding,"Part-time funding is released after the course add/drop deadline. Students must pay their tuition fees upfront to be registered in their course(s) each term. After your OSAP application has been reviewed and approved, your funding will be deposited to the bank account you indicated when completing your NSLSC profile ."
Deadlines,Application deadline: 40 days before the end of your study period. Supporting documentation/review deadline: 40 days before the end of your study period.
2024-2025 part-time OSAP deadlines,"Note: applications must be complete with all required documents, including the Master Student Financial Assistance Agreement (MSFAA) , by this date. Applications and documents received after these dates will not be considered."
2025-2026 part-time OSAP deadlines,"Note: applications must be complete with all required documents, including the Master Student Financial Assistance Agreement (MSFAA) , by this date. Applications and documents received after these dates will not be considered."
Conestoga-McMaster BScN students,Course load and enrolment changes may impact your OSAP funding and/or eligibility. Students in receipt of OSAP must report course load changes or changes to enrolment via email to BScN enrolment and Student Financial Services as soon as possible. Part-time definition: course load of 20-59%
Part-time definition:,"Students with a permanent disability or a persistent or prolonged disability may be considered full-time at a 40% course load, which is 6/15 units."
Deadlines,BScN and diploma Registered Practical Nurse to BScN programs follow McMaster academic dates . Application deadline: 40 days before the end of your study period. Supporting documentation/review deadline: 40 days before the end of your study period.
2024-2025 part-time OSAP deadlines for CoMac BScN students,"Note: Applications must be complete with all required documents, including the Master Student Financial Assistance Agreement (MSFAA) by this date. Applications and documents received after these dates will not be considered."
2025-2026 part-time OSAP deadlines for CoMac BScN students,"Note: Applications must be complete with all required documents, including the Master Student Financial Assistance Agreement (MSFAA) by this date. Applications and documents received after these dates will not be considered."
Eligibility,"To be eligible for OSAP, you must be: Registered in a ministry-approved micro-credential that is less than 12 weeks long. A Canadian citizen, permanent resident, or protected person"
Tuition deposits and OSAP,"All micro-credential students must pay their fees upfront to be registered in the program. For more information, visit Payments & invoicing ."
Receiving your funding,"After your OSAP application has been reviewed and approved, your funding will be deposited into the bank account you indicated when completing your NSLSC profile ."
Deadlines,Application deadline: last day of your study period. Supporting documentation/review deadline : five days after the last day of your study period.
"Upon receiving any OSAP funding, you assume the following responsibilities:","To read and follow all the terms and conditions in the Master Student Financial Assistance Agreement (MSFAA) Agree to use this funding to first pay your tuition and fees, then to cover other educational and living expenses related to your studies. Report changes to your personal status and program information to OSAP"
Reporting changes on your OSAP application,"Any changes to your studies, personal circumstances, or financial situation may impact your OSAP eligibility or assessment. You must report the following changes as soon as possible. Changes to your course load If you have added or dropped courses, upload a completed OSAP Change Request form (pdf) to the OSAP Portal . Any changes must be reported to OSAP and may result in a reassessment of your funding."
Changes to your course load,"Reducing your course load from full-time to part-time If you have dropped below a 60% course load (40% for students with a permanent disability or persistent or prolonged disability), you are considered a part-time student. Your OSAP application will be updated to reflect the date you dropped to part-time status, and your OSAP funding may be reassessed."
Reducing your course load from full-time to part-time,"Increasing your course load from part-time to full-time If you have applied for part-time OSAP and are taking a course load of 60% or greater (40% or greater for students with a permanent disability or persistent or prolonged disability), you may be eligible for additional funding."
Increasing your course load from part-time to full-time,"Change your program of study For students who applied for and received OSAP funding in their first term and are now changing programs or repeating the same term, you must submit a new OSAP application for your current term."
Change your program of study,Withdraw from your studies You will need to submit the Withdrawal Request form through the Student Portal . We will update your OSAP application and refund any balance on your student account back to the National Student Loans Service Centre on your behalf.
Withdraw from your studies,Personal changes Personal changes may include:
Personal changes,personal or familial financial situation any major life event which would have an impact on your finances Upload a completed OSAP Change Request form (pdf) and the appropriate supporting documentation to the OSAP Portal .
Failure to progress academically,"You must complete and submit your Acknowledgement of Academic Probation form (accessed via the OSAP Portal ) if you are continuing your studies in the next term. Transcripts may also be required, please check communication in the OSAP Portal to confirm. It is recommended that you review the information on OSAP Academic Progress ."
Interest-free status,"To avoid unnecessary interest, understand your student status and payment obligations. If your study plans change or you drop a course and lose your full-time student status, your eligibility for OSAP may change and require repayment. Visit the OSAP website to learn about retaining your interest-free status ."
Repaying Your OSAP,You must start paying back your OSAP loans six months after you leave your studies. The provincial loan portion starts accruing interest immediately at the end of the study period. The federal loan portion is interest free .
Repayment assistance,"To remain eligible for full-time OSAP, a student must make satisfactory progress in their program of study. Students must achieve passing grades in a minimum of 60% (40% course load for students with a permanent disability or persistent or prolonged disability) of a 100% course load based on the expectations of your specific program. Students must also progress through the successive years of their program of study. The following actions are all considered failure to progress academically: Dropping from a full-time course load to a part-time course load"
Academic progress,"Students may be required to provide proof of academic progress for a variety of reasons, including, but not limited to: You have submitted multiple OSAP applications in an academic year What to do if you need to submit an Academic Progress Letter"
What to do if you need to submit an Academic Progress Letter,"You must complete an Academic Progress Letter (pdf) If you have previously been enrolled in a college/university program, you must submit transcripts of your grades: Conestoga Students – provide a copy of your Achievement Record from the Student Portal Studies at another college or university - submit transcripts from the other institution(s). Official transcripts may not be required. The document must include the school's name and your full name. OCAS screenshots/transcripts are not accepted. Conestoga Students – provide a copy of your Achievement Record from the Student Portal"
Repeating a course,"Students who are progressing through their program would generally receive OSAP funding only once for each course in their program. In some circumstances, students may be considered for OSAP funding to repeat one or more courses once provided that they are making academic progress. For example: A student who has failed a course can receive OSAP funding one additional time to try for a better mark. Any additional attempts will not be funded. A student who has not achieved the minimum average or grade required for advancing to the next level of their current program may repeat one or more courses to bring up their average once. Any additional attempts will not be funded."
Periods of study plus one,Students may apply for full-time OSAP for the number of periods of study normally specified by the institution for completion of that program of study plus one (1) study period. For example: A student in a 1-year certificate program can receive a maximum of two years of full-time OSAP assistance. A student in a 2-year diploma program can receive a maximum of three years of full-time OSAP assistance.
Consequences of failure to meet requirements,"If students do not meet satisfactory academic progress requirements, their eligibility for further OSAP assistance is impacted. Academic probation The first time you do not meet satisfactory academic progress for OSAP purposes, you will be placed on academic probation for at least 12 months from the date of your unsatisfactory academic progress status. You may be on academic probation for one or more of the following reasons:"
What to do if you have been placed on academic probation,"You must complete and submit your Acknowledgement of Academic Probation form (accessed via the OSAP Portal ) if you are continuing your studies in the next term. Upload the completed form to the OSAP Portal . Connect with Student Success Services for additional support like academic advising, tutoring, and counselling."
Academic restriction,What to do if you have been placed on academic restriction
What to do if you have been placed on academic restriction,If you choose to remain enrolled full-time during the restriction period: You must fund your studies yourself. You can submit a Continuation of Interest-Free Status (CIFS) application at the start of your study period. This will stop interest charges and prevent prior OSAP loans from going into repayment for the duration of your full-time study period while on restriction.
Academic progress reviews,Students who fail to meet academic progress requirements due to circumstances beyond their control may appeal the decision by requesting a review for OSAP Academic Probation or OSAP Academic Restriction. Acceptable circumstances include the following: Pregnancy complications or unexpected parental leaves
Reduced course load for students with disabilities,"Students with a permanent disability , or a persistent or prolonged disability , may be eligible to take a reduced course load of 40% or greater and receive full-time OSAP funding. To be eligible for this you must have an approved Disability Verification Form on your OSAP account before your course load is reduced."
Canada Student Grant for Students with Disabilities,"The Canada Student Grant for Students with Disabilities provides aid to post-secondary students who have self-identified as having a disability on their OSAP application. The grant provides eligible students up to $2,800 per academic year and is released as part of the student’s OSAP funding to help students pay for education-related costs. Once your OSAP application is reviewed, and you have an accepted Disability Verification Form on file, you will be assessed for this grant as part of your complete OSAP funding package. No additional application is required."
